inct_folder,formacao_mais_alta,qtd,nome_inct,area
155,Virtual_da_Flora,Pós-Doutorado,45,INCT Virtual da Flora e dos Fungos,Ciências Biológicas
156,da_Criosfera,Curso Técnico,2,INCT da Criosfera,Ecologia e Meio Ambiente
157,da_Criosfera,Doutorado,167,INCT da Criosfera,Ecologia e Meio Ambiente
158,da_Criosfera,Ensino Fundamental,1,INCT da Criosfera,Ecologia e Meio Ambiente
159,da_Criosfera,Especialização,10,INCT da Criosfera,Ecologia e Meio Ambiente
160,da_Criosfera,Graduação,44,INCT da Criosfera,Ecologia e Meio Ambiente
161,da_Criosfera,Livre-Docência,5,INCT da Criosfera,Ecologia e Meio Ambiente
162,da_Criosfera,Mestrado,66,INCT da Criosfera,Ecologia e Meio Ambiente
163,da_Criosfera,Pós-Doutorado,174,INCT da Criosfera,Ecologia e Meio Ambiente
164,da_Internet_do,Doutorado,12,INCT da Internet do Futuro,Ciências Exatas e da Terra
165,da_Internet_do,Livre-Docência,24,INCT da Internet do Futuro,Ciências Exatas e da Terra
166,da_Internet_do,Pós-Doutorado,18,INCT da Internet do Futuro,Ciências Exatas e da Terra
167,de_Arqueologia_Paleontologia,Doutorado,9,"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil","Ciências Humanas, Sociais Aplicadas e Educação"
168,de_Arqueologia_Paleontologia,Livre-Docência,2,"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil","Ciências Humanas, Sociais Aplicadas e Educação"
169,de_Arqueologia_Paleontologia,Pós-Doutorado,20,"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil","Ciências Humanas, Sociais Aplicadas e Educação"
170,de_Bioanalítica,Doutorado,1,INCT de Bioanalítica,Ciências Exatas e da Terra
171,de_Bioanalítica,Livre-Docência,19,INCT de Bioanalítica,Ciências Exatas e da Terra
172,de_Bioanalítica,Pós-Doutorado,23,INCT de Bioanalítica,Ciências Exatas e da Terra
173,de_Bioinspiração_Moléculas,Doutorado,30,INCT de Bioinspiração - Moléculas bioinspiradas aplicadas ao incremento e qualidade da produção de proteína animal (INCT-Bioinspir) ,Ciências Biológicas
174,de_Bioinspiração_Moléculas,Graduação,1,INCT de Bioinspiração - Moléculas bioinspiradas aplicadas ao incremento e qualidade da produção de proteína animal (INCT-Bioinspir) ,Ciências Biológicas
175,de_Bioinspiração_Moléculas,Mestrado,1,INCT de Bioinspiração - Moléculas bioinspiradas aplicadas ao incremento e qualidade da produção de proteína animal (INCT-Bioinspir) ,Ciências Biológicas
176,de_Bioinspiração_Moléculas,Pós-Doutorado,43,INCT de Bioinspiração - Moléculas bioinspiradas aplicadas ao incremento e qualidade da produção de proteína animal (INCT-Bioinspir) ,Ciências Biológicas
177,de_Biologia_Estrutural,Curso Técnico,1,INCT de Biologia Estrutural e Bioimagem,Ciências Biológicas
178,de_Biologia_Estrutural,Doutorado,99,INCT de Biologia Estrutural e Bioimagem,Ciências Biológicas
179,de_Biologia_Estrutural,Ensino Médio,2,INCT de Biologia Estrutural e Bioimagem,Ciências Biológicas
180,de_Biologia_Estrutural,Especialização,13,INCT de Biologia Estrutural e Bioimagem,Ciências Biológicas
181,de_Biologia_Estrutural,Graduação,36,INCT de Biologia Estrutural e Bioimagem,Ciências Biológicas
182,de_Biologia_Estrutural,Livre-Docência,8,INCT de Biologia Estrutural e Bioimagem,Ciências Biológicas
183,de_Biologia_Estrutural,Mestrado,49,INCT de Biologia Estrutural e Bioimagem,Ciências Biológicas
184,de_Biologia_Estrutural,Pós-Doutorado,207,INCT de Biologia Estrutural e Bioimagem,Ciências Biológicas
185,de_Biomarcadores_em,Doutorado,2,INCT de Biomarcadores em Neuropsiquiatria (INCT-INBioN),Saúde
186,de_Biomarcadores_em,Especialização,1,INCT de Biomarcadores em Neuropsiquiatria (INCT-INBioN),Saúde
187,de_Biomarcadores_em,Livre-Docência,8,INCT de Biomarcadores em Neuropsiquiatria (INCT-INBioN),Saúde
188,de_Biomarcadores_em,Pós-Doutorado,3,INCT de Biomarcadores em Neuropsiquiatria (INCT-INBioN),Saúde
189,de_Catálise_em,Doutorado,10,INCT de Catálise em Sistemas Moleculares e Nanoestruturados,Ciências Exatas e da Terra
190,de_Catálise_em,Graduação,3,INCT de Catálise em Sistemas Moleculares e Nanoestruturados,Ciências Exatas e da Terra
191,de_Catálise_em,Livre-Docência,9,INCT de Catálise em Sistemas Moleculares e Nanoestruturados,Ciências Exatas e da Terra
192,de_Catálise_em,Mestrado,1,INCT de Catálise em Sistemas Moleculares e Nanoestruturados,Ciências Exatas e da Terra
193,de_Catálise_em,Pós-Doutorado,30,INCT de Catálise em Sistemas Moleculares e Nanoestruturados,Ciências Exatas e da Terra
194,de_Ciência_Animal,Doutorado,29,INCT de Ciência Animal,Ciências Agrárias e Agronegócios
